,threshold,sensitivity,specificity,precision
0,0.0,1.0,0.0,0.0020240089335566724
1,0.1,0.9370314842578711,0.9186443564007213,0.022826047259048247
2,0.2,0.881559220389805,0.9486221292458883,0.03362882470689162
3,0.30000000000000004,0.8545727136431784,0.9621925522307732,0.043832666871731776
4,0.4,0.8320839580209896,0.9703445361031632,0.053841676367869615
5,0.5,0.7886056971514243,0.9769883573494041,0.0649864096861873
6,0.6000000000000001,0.7241379310344828,0.9828081623220839,0.07870294932377384
7,0.7000000000000001,0.6491754122938531,0.9880228778540305,0.09903934126258006
8,0.8,0.5322338830584707,0.9922220161336913,0.12186749055956059
9,0.9,0.40929535232383807,0.9957856584680594,0.16455696202531644
